_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score
503,20,502,1758020737671,390,1758020809755.0,72084.0,True,-1,0,0,0,2,0,2,142.0,0,116,116,357,402,1758027937671.0,134,1,784,9,True,0,279,14,17,False,66.0,0,Anomaly,Anomaly,0.11801386922274182
501,20,500,1757163355607,389,1758020737671.0,857382064.0,True,-1,0,0,0,2,0,2,142.0,0,109,109,230,401,1757170555607.0,135,1,784,9,False,0,278,14,17,False,66.0,0,Anomaly,Anomaly,0.11124108806873989
504,13,503,1758020809755,391,1758184887366.0,164077611.0,True,-1,0,0,0,2,0,0,140.0,0,119,119,412,403,1758028009755.0,478,1,784,9,False,0,280,14,17,False,66.0,0,Anomaly,Anomaly,0.07902131980978178
505,20,504,1758184887366,392,1758184893171.0,5805.0,True,-1,0,0,0,2,0,2,142.0,0,99,99,133,404,1758192087366.0,133,1,784,9,True,0,281,14,17,False,66.0,0,Anomaly,Anomaly,0.12096725665276897
506,20,505,1758285654122,393,1758285963246.0,309124.0,True,-1,0,0,0,2,0,2,142.0,0,108,108,223,405,1758292854122.0,126,1,784,9,True,0,282,14,17,False,66.0,0,Anomaly,Anomaly,0.10993894093513468
507,20,506,1758285972971,394,1758286198888.0,225917.0,True,-1,0,0,0,2,0,2,142.0,0,118,118,397,406,1758293172971.0,124,1,784,9,True,0,298,18,17,False,66.0,0,Anomaly,Anomaly,0.0942419098031041
508,18,507,1758544688882,-1,,,False,1,0,0,0,1,3,0,133.0,0,-1,-1,-1,-1,,515,1,33109,5,False,1,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.0
509,18,508,1758544801009,-1,,,False,1,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,63,1,33109,5,False,0,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.04434448745927044
510,18,509,1758544828379,395,1758612268787.0,67440408.0,True,-1,0,0,0,1,4,0,133.0,0,176,176,358,407,1758552028379.0,62,1,33109,5,False,0,236,8,9,False,34276.0,0,Anomaly,Anomaly,0.030985695755931908
511,18,510,1758612268787,396,1758613678602.0,1409815.0,True,-1,0,0,0,1,4,0,133.0,0,179,179,407,408,1758619468787.0,60,1,33109,5,True,0,237,8,9,False,34276.0,0,Anomaly,Anomaly,0.03896372673308102
512,18,511,1758613736835,397,1758613744803.0,7968.0,True,-1,0,0,0,1,4,0,133.0,0,65,65,17,409,1758620936835.0,59,1,93359,45,True,0,306,82,64,False,94526.0,0,Anomaly,Anomaly,0.019925196030808667
513,18,512,1758613804440,398,1758613821286.0,16846.0,True,-1,0,0,0,1,4,0,133.0,0,178,178,403,410,1758621004440.0,56,1,33109,5,True,0,238,8,9,False,34276.0,0,Anomaly,Anomaly,0.03431949244059418
514,18,513,1758613876265,-1,,,False,3,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,58,1,89129,32,False,0,413,-1,48,False,90296.0,0,Anomaly,Anomaly,0.030140252359724284
515,18,514,1758613944635,399,1758623149632.0,9204997.0,True,-1,0,0,0,1,4,0,133.0,0,373,373,162,411,1758621144635.0,57,1,117896,44,False,0,96,79,65,False,117685.0,0,Anomaly,Anomaly,0.008759575779657358
516,18,515,1758623149632,400,1758624565769.0,1416137.0,True,-1,0,0,0,1,4,0,133.0,0,371,371,59,412,1758630349632.0,61,1,117896,44,True,0,97,79,65,False,117685.0,0,Anomaly,Anomaly,0.00537298899304306
